Press Association Reference,Constituency Name,Region,CODE,Electorate 10,Votes 10,Conservative 10,Green 10,Labour 10,Lib Dems 10,Other 10,Plaid 10,SNP 10,UKIP 10,Winner 10,Second Place 10,Third Place 10,Fourth Place 10,Turnout 10,Conservative Vote Share 10,Green Vote Share 10,Labour Vote Share 10,Lib Dems Vote Share 10,Other Vote Share 10,Plaid Vote Share 10,SNP Vote Share 10,UKIP Vote Share 10
1,Aberavon,Wales,W07000049,50838,30958,4411,0,16073,5034,2753,2198,0,489,Labour,Lib Dems,Conservative,Other,60.9,14.2,0.0,51.9,16.3,8.9,7.1,0.0,1.6
2,Aberconwy,Wales,W07000058,44593,29966,10734,0,7336,5786,137,5341,0,632,Conservative,Labour,Lib Dems,Plaid,67.2,35.8,0.0,24.5,19.3,0.5,17.8,0.0,2.1
3,Aberdeen North,Scotland,S14000001,64808,37701,4666,0,16746,7001,903,0,8385,0,Labour,SNP,Lib Dems,Conservative,58.2,12.4,0.0,44.4,18.6,2.4,0.0,22.2,0.0
4,Aberdeen South,Scotland,S14000002,64031,43034,8914,413,15722,12216,667,0,5102,0,Labour,Lib Dems,Conservative,SNP,67.2,20.7,1.0,36.5,28.4,1.5,0.0,11.9,0.0
5,Aberdeenshire West & Kincardine,Scotland,S14000058,66110,45195,13678,0,6159,17362,513,0,7086,397,Lib Dems,Conservative,SNP,Labour,68.4,30.3,0.0,13.6,38.4,1.1,0.0,15.7,0.9
6,Airdrie & Shotts,Scotland,S14000003,62364,35849,3133,0,20849,2898,528,0,8441,0,Labour,SNP,Conservative,Lib Dems,57.5,8.7,0.0,58.2,8.1,1.5,0.0,23.5,0.0
7,Aldershot,South East,E14000530,71465,45384,21203,0,5489,15617,1034,0,0,2041,Conservative,Lib Dems,Labour,UKIP,63.5,46.7,0.0,12.1,34.4,2.3,0.0,0.0,4.5
8,Aldridge-Brownhills,West Midlands,E14000531,58909,38634,22913,847,7647,6833,394,0,0,0,Conservative,Labour,Lib Dems,Green,65.6,59.3,2.2,19.8,17.7,1.0,0.0,0.0,0.0
9,Altrincham & Sale West,North West,E14000532,72208,49393,24176,0,11073,12581,0,0,0,1563,Conservative,Lib Dems,Labour,UKIP,68.4,48.9,0.0,22.4,25.5,0.0,0.0,0.0,3.2
10,Alyn & Deeside,Wales,W07000043,60931,39923,12885,0,15804,7308,1368,1549,0,1009,Labour,Conservative,Lib Dems,Plaid,65.5,32.3,0.0,39.6,18.3,3.4,3.9,0.0,2.5
11,Amber Valley,East Midlands,E14000533,70171,45958,17746,0,17210,6636,3460,0,0,906,Conservative,Labour,Lib Dems,Other,65.5,38.6,0.0,37.4,14.4,7.5,0.0,0.0,2.0
12,Angus,Scotland,S14000004,62860,37960,11738,0,6535,4090,0,0,15020,577,SNP,Conservative,Labour,Lib Dems,60.4,30.9,0.0,17.2,10.8,0.0,0.0,39.6,1.5
13,Antrim East,Northern Ireland,N06000005,60204,30502,0,0,0,0,30502,0,0,0,Other,Conservative,Conservative,Conservative,50.7,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
14,Antrim North,Northern Ireland,N06000012,73338,42397,0,0,0,0,42397,0,0,0,Other,Conservative,Conservative,Conservative,57.8,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
15,Antrim South,Northern Ireland,N06000014,63054,34009,0,0,0,0,34009,0,0,0,Other,Conservative,Conservative,Conservative,53.9,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
16,Arfon,Wales,W07000057,41198,26078,4416,0,7928,3666,0,9383,0,685,Plaid,Labour,Conservative,Lib Dems,63.3,16.9,0.0,30.4,14.1,0.0,36.0,0.0,2.6
17,Argyll & Bute,Scotland,S14000005,67165,45207,10861,789,10274,14292,428,0,8563,0,Lib Dems,Conservative,Labour,SNP,67.3,24.0,1.7,22.7,31.6,0.9,0.0,18.9,0.0
18,Arundel & South Downs,South East,E14000534,76835,55982,32333,0,4835,15642,0,0,0,3172,Conservative,Lib Dems,Labour,UKIP,72.9,57.8,0.0,8.6,27.9,0.0,0.0,0.0,5.7
19,Ashfield,East Midlands,E14000535,77379,48196,10698,0,16239,16047,4279,0,0,933,Labour,Lib Dems,Conservative,Other,62.3,22.2,0.0,33.7,33.3,8.9,0.0,0.0,1.9
20,Ashford,South East,E14000536,81271,55185,29878,1014,9204,12581,0,0,0,2508,Conservative,Lib Dems,Labour,UKIP,67.9,54.1,1.8,16.7,22.8,0.0,0.0,0.0,4.5
21,Ashton Under Lyne,North West,E14000537,67714,38432,9510,0,18604,5703,2929,0,0,1686,Labour,Conservative,Lib Dems,Other,56.8,24.7,0.0,48.4,14.8,7.6,0.0,0.0,4.4
22,Aylesbury,South East,E14000538,77844,53162,27736,0,6695,15118,0,0,0,3613,Conservative,Lib Dems,Labour,UKIP,68.3,52.2,0.0,12.6,28.4,0.0,0.0,0.0,6.8
