Press Association ID Number,Constituency Name,Region,CODE,Electorate 15,Votes_15,Conservative_15,Green_15,Labour_15,Lib Dems_15,Other_15,Plaid_15,SNP_15,UKIP_15,Winner 15,Second Place 15,Third Place 15,Fourth Place 15,Turnout 15,Conservative Vote Share 15,Green Vote Share 15,Labour Vote Share 15,Lib Dems Vote Share 15,Other Vote Share 15,Plaid Vote Share 15,SNP Vote Share 15,UKIP Vote Share 15,Conservative Vote Share Change 15,Green Vote Share Change 15,Labour Vote Share Change 15,Lib Dems Vote Share Change 15,Other Vote Share Change 15,Plaid Vote Share Change 15,SNP Vote Share Change 15,UKIP Vote Share Change 15
1,Aberavon,Wales,W07000049,49821,31523,3742,711,15416,1397,1623,3663,,4971,Labour,UKIP,Conservative,Plaid,63.3,11.9,2.3,48.9,4.4,5.1,11.6,0.0,15.8,-2.4,+2.3,-3.0,-11.8,-3.7,+4.5,0.0,+14.2
2,Aberconwy,Wales,W07000058,45525,30148,12513,727,8514,1391,0,3536,,3467,Conservative,Labour,Plaid,UKIP,66.2,41.5,2.4,28.2,4.6,0.0,11.7,0.0,11.5,+5.7,+2.4,+3.8,-14.7,-0.5,-6.1,0.0,+9.4
3,Aberdeen North,Scotland,S14000001,67745,43936,5304,,11397,2050,392,,24793,,SNP,Labour,Conservative,Lib Dems,64.9,12.1,0.0,25.9,4.7,0.9,0.0,56.4,0.0,-0.3,0.0,-18.5,-13.9,-1.5,0.0,+34.2,0.0
4,Aberdeen South,Scotland,S14000002,68056,48551,11087,964,12991,2252,139,,20221,897,SNP,Labour,Conservative,Lib Dems,71.3,22.8,2.0,26.8,4.6,0.3,0.0,41.6,1.8,+2.1,+1.0,-9.8,-23.7,-1.3,0.0,+29.8,+1.8
5,Aberdeenshire West & Kincardine,Scotland,S14000058,73445,55196,15916,885,2487,11812,141,,22949,1006,SNP,Conservative,Lib Dems,Labour,75.2,28.8,1.6,4.5,21.4,0.3,0.0,41.6,1.8,-1.4,+1.6,-9.1,-17.0,-0.9,0.0,+25.9,+0.9
6,Airdrie & Shotts,Scotland,S14000003,66792,44286,3389,,15108,678,136,,23887,1088,SNP,Labour,Conservative,UKIP,66.3,7.7,0.0,34.1,1.5,0.3,0.0,53.9,2.5,-1.1,0.0,-24.0,-6.6,-1.2,0.0,+30.4,+2.5
7,Aldershot,South East,E14000530,72430,46191,23369,2025,8468,4076,0,,,8253,Conservative,Labour,UKIP,Lib Dems,63.8,50.6,4.4,18.3,8.8,0.0,0.0,0.0,17.9,+3.9,+4.4,+6.2,-25.6,-2.3,0.0,0.0,+13.4
8,Aldridge-Brownhills,West Midlands,E14000531,60215,39497,20558,826,8835,1330,197,,,7751,Conservative,Labour,UKIP,Lib Dems,65.6,52.0,2.1,22.4,3.4,0.5,0.0,0.0,19.6,-7.3,-0.1,+2.6,-14.3,-0.5,0.0,0.0,+19.6
9,Altrincham & Sale West,North West,E14000532,71511,50517,26771,1983,13481,4235,0,,,4047,Conservative,Labour,Lib Dems,UKIP,70.6,53.0,3.9,26.7,8.4,0.0,0.0,0.0,8.0,+4.0,+3.9,+4.3,-17.1,0.0,0.0,0.0,+4.8
10,Alyn & Deeside,Wales,W07000043,62016,41314,13197,976,16540,1733,0,1608,,7260,Labour,Conservative,UKIP,Lib Dems,66.6,31.9,2.4,40.0,4.2,0.0,3.9,0.0,17.6,-0.3,+2.4,+0.4,-14.1,-3.4,+0.0,0.0,+15.0
11,Amber Valley,East Midlands,E14000533,69510,45717,20106,1087,15901,1360,0,,,7263,Conservative,Labour,UKIP,Lib Dems,65.8,44.0,2.4,34.8,3.0,0.0,0.0,0.0,15.9,+5.4,+2.4,-2.7,-11.5,-7.5,0.0,0.0,+13.9
12,Angus,Scotland,S14000004,65792,44485,12900,965,3919,1216,0,,24130,1355,SNP,Conservative,Labour,UKIP,67.6,29.0,2.2,8.8,2.7,0.0,0.0,54.2,3.0,-1.9,+2.2,-8.4,-8.0,0.0,0.0,+14.7,+1.5
13,Antrim East,Northern Ireland,N06000005,62811,33497,549,,0,,22980,,,3660,Other,UKIP,Conservative,Labour,53.3,1.6,0.0,0.0,0.0,68.6,0.0,0.0,10.9,+1.6,0.0,0.0,0.0,-31.4,0.0,0.0,+10.9
14,Antrim North,Northern Ireland,N06000012,75876,41907,368,,0,,35144,,,1341,Other,UKIP,Conservative,Labour,55.2,0.9,0.0,0.0,0.0,83.9,0.0,0.0,3.2,+0.9,0.0,0.0,0.0,-16.1,0.0,0.0,+3.2
15,Antrim South,Northern Ireland,N06000014,67425,36523,415,,0,,24166,,,,Other,Conservative,Labour,#NUM!,54.2,1.1,0.0,0.0,0.0,66.2,0.0,0.0,0.0,+1.1,0.0,0.0,0.0,-33.8,0.0,0.0,0.0
16,Arfon,Wales,W07000057,40492,26837,3521,,8122,718,409,11790,,2277,Plaid,Labour,Conservative,UKIP,66.3,13.1,0.0,30.3,2.7,1.5,43.9,0.0,8.5,-3.8,0.0,-0.1,-11.4,+1.5,+8.0,0.0,+5.9
17,Argyll & Bute,Scotland,S14000005,68875,51883,7733,,5394,14486,0,,22959,1311,SNP,Lib Dems,Conservative,Labour,75.3,14.9,0.0,10.4,27.9,0.0,0.0,44.3,2.5,-9.1,-1.7,-12.3,-3.7,-0.9,0.0,+25.3,+2.5
18,Arundel & South Downs,South East,E14000534,77242,56477,34331,3606,6324,4062,0,,,8154,Conservative,UKIP,Labour,Lib Dems,73.1,60.8,6.4,11.2,7.2,0.0,0.0,0.0,14.4,+3.0,+6.4,+2.6,-20.7,0.0,0.0,0.0,+8.8
19,Ashfield,East Midlands,E14000535,77091,47409,10628,,19448,7030,153,,,10150,Labour,Conservative,UKIP,Lib Dems,61.5,22.4,0.0,41.0,14.8,0.3,0.0,0.0,21.4,+0.2,0.0,+7.3,-18.5,-8.6,0.0,0.0,+19.5
20,Ashford,South East,E14000536,85177,57372,30094,2467,10580,3433,0,,,10798,Conservative,UKIP,Labour,Lib Dems,67.4,52.5,4.3,18.4,6.0,0.0,0.0,0.0,18.8,-1.7,+2.5,+1.8,-16.8,0.0,0.0,0.0,+14.3
21,Ashton Under Lyne,North West,E14000537,68343,38918,8610,1531,19366,943,0,,,8468,Labour,Conservative,UKIP,Green,56.9,22.1,3.9,49.8,2.4,0.0,0.0,0.0,21.8,-2.6,+3.9,+1.4,-12.4,-7.6,0.0,0.0,+17.4
22,Aylesbury,South East,E14000538,80315,55419,28083,2135,8391,5885,0,,,10925,Conservative,UKIP,Labour,Lib Dems,69.0,50.7,3.9,15.1,10.6,0.0,0.0,0.0,19.7,-1.5,+3.9,+2.5,-17.8,0.0,0.0,0.0,+12.9
23,"Ayr, Carrick & Cumnock",Scotland,S14000006,72995,52209,10355,,14227,855,0,,25492,1280,SNP,Labour,Conservative,UKIP,71.5,19.8,0.0,27.3,1.6,0.0,0.0,48.8,2.5,-5.7,0.0,-19.9,-7.7,0.0,0.0,+30.8,+2.5
24,Ayrshire Central,Scotland,S14000010,70021,50774,8803,645,13410,917,0,,26999,,SNP,Labour,Conservative,Lib Dems,72.5,17.3,1.3,26.4,1.8,0.0,0.0,53.2,0.0,-3.0,+1.3,-21.3,-10.1,-1.0,0.0,+34.1,0.0
25,Ayrshire North & Arran,Scotland,S14000048,75791,53869,7968,,15068,896,0,,28641,1296,SNP,Labour,Conservative,UKIP,71.1,14.8,0.0,28.0,1.7,0.0,0.0,53.2,2.4,-0.8,0.0,-19.4,-8.4,-1.0,0.0,+27.2,+2.4
26,Banbury,South East,E14000539,86420,58008,30749,2686,12354,3440,729,,,8050,Conservative,Labour,UKIP,Lib Dems,67.1,53.0,4.6,21.3,5.9,1.3,0.0,0.0,13.9,+0.2,+2.9,+2.1,-14.5,+0.3,0.0,0.0,+8.9
27,Banff & Buchan,Scotland,S14000007,68609,45629,13148,,2647,2347,0,,27487,,SNP,Conservative,Labour,Lib Dems,66.5,28.8,0.0,5.8,5.1,0.0,0.0,60.2,0.0,-2.0,0.0,-8.2,-6.2,-2.6,0.0,+19.0,0.0
28,Barking,London,E14000540,73977,43041,7019,897,24826,562,183,,,9554,Labour,UKIP,Conservative,Green,58.2,16.3,2.1,57.7,1.3,0.4,0.0,0.0,22.2,-1.5,+1.4,+3.4,-6.9,-15.7,0.0,0.0,+19.3
29,Barnsley Central,Yorkshire and The Humber,E14000541,64534,36560,5485,938,20376,770,1050,,,7941,Labour,UKIP,Conservative,Other,56.7,15.0,2.6,55.7,2.1,2.9,0.0,0.0,21.7,-2.3,+2.6,+8.5,-15.2,-10.7,0.0,0.0,+17.1
30,Barnsley East,Yorkshire and The Humber,E14000542,69135,38517,5622,,21079,1217,804,,,9045,Labour,UKIP,Conservative,Lib Dems,55.7,14.6,0.0,54.7,3.2,2.1,0.0,0.0,23.5,-1.9,0.0,+7.7,-15.0,-11.7,0.0,0.0,+19.0
31,Barrow & Furness,North West,E14000543,68338,43275,17525,1061,18320,1169,130,,,5070,Labour,Conservative,UKIP,Lib Dems,63.3,40.5,2.5,42.3,2.7,0.3,0.0,0.0,11.7,+4.2,+1.3,-5.8,-7.3,-2.2,0.0,0.0,+9.8
32,Basildon & Billericay,East,E14000544,66347,43028,22668,,10186,1636,0,,,8538,Conservative,Labour,UKIP,Lib Dems,64.9,52.7,0.0,23.7,3.8,0.0,0.0,0.0,19.8,-0.1,0.0,+0.6,-11.9,-4.7,0.0,0.0,+16.0
